Object,Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal(LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2014 YP9),2014-Dec-21 15:48 ±,6.5/0.0167,6.5/0.0167,19.41,19.41,1.39e+03,23.3,5,APO*
(2014 QY33),2014-Aug-30 08:02 ±,6.5/0.0168,6.5/0.0168,14.49,14.48,2.61e+05,26.2,11,APO*
(2014 LK21),2014-Jun-06 03:14 ±,6.7/0.0171,6.7/0.0171,3.73,3.69,2.06e+03,25.9,12,ATE*
(2015 CQ13),2015-Feb-18 08:31 ±,6.7/0.0171,6.7/0.0171,6.74,6.71,1.17e+03,25.7,5,APO*
(2014 QT295),2014-Sep-05 17:54 ±,6.7/0.0172,6.6/0.0170,12.29,12.27,270,25.9,6,APO*
(2014 QH33),2014-Aug-12 20:31 ±,6.7/0.0172,6.7/0.0172,5.54,5.51,1.41e+05,24.4,15,APO*
(2014 UU116),2014-Oct-29 00:55 ±,6.8/0.0174,6.8/0.0174,11.73,11.71,862,26.2,3,APO*
(2014 UU33),2014-Oct-25 11:04 ±,6.9/0.0176,6.8/0.0176,19.72,19.72,878,25.1,2,APO*
(2015 DK200),2015-Mar-08 00:22 ±,6.9/0.0177,6.9/0.0177,8.61,8.59,932,25.8,5,APO*
(2014 TT35),2014-Oct-22 02:09 ±,6.9/0.0177,6.9/0.0176,10.67,10.66,363,26.0,6,APO*
(2014 QN362),2014-Aug-14 15:42 ±,6.9/0.0177,6.8/0.0176,9.94,9.93,220,26.5,2,APO*
(2014 MF18),2014-Jun-19 05:18 ±   00:01,6.9/0.0178,6.9/0.0177,2.80,2.75,1.55e+03,26.0,7,ATE*
(2014 JX24),2014-May-04 05:31 ±,6.9/0.0178,6.9/0.0176,9.07,9.05,162,26.9,3,AMO*
(2014 WN69),2014-Nov-05 06:51 ±   00:41,6.9/0.0178,6.9/0.0178,4.16,4.12,287,28.0,2,APO*
(2014 HT46),2014-May-04 08:55 ±,6.9/0.0178,6.9/0.0178,5.19,5.16,2.84e+05,26.6,14,APO*
(2015 EP),2015-Mar-13 18:22 ±,7.0/0.0180,7.0/0.0179,6.02,6.00,818,25.9,3,APO*
(2014 SS1),2014-Sep-10 20:08 ±,7.0/0.0181,7.0/0.0181,7.12,7.10,1.81e+04,21.7,37,AMO*
(2015 CG),2015-Feb-11 13:14 ±,7.1/0.0182,7.1/0.0182,12.09,12.07,1.12e+03,25.6,4,APO*
(2015 BK510),2015-Jan-19 09:14 ±,7.1/0.0184,7.1/0.0182,17.20,17.20,332,25.7,3,APO*
